#Pb
#Energy	LinAtten
1.550400E+01  1.5940E+03
1.554358E+01  1.5833E+03
1.578150E+01  1.5203E+03
1.584494E+01  1.5039E+03
1.594010E+01  1.7091E+03
1.617802E+01  1.6466E+03
1.646362E+01  1.5758E+03
1.759961E+01  1.3300E+03
1.881398E+01  1.1217E+03
2.011215E+01  9.4620E+02
2.149988E+01  7.9768E+02
2.298338E+01  6.7275E+02
2.456923E+01  5.6781E+02
2.626450E+01  4.7958E+02
2.807676E+01  4.0220E+02
3.001405E+01  3.3701E+02
3.208502E+01  2.8220E+02
3.429889E+01  2.3597E+02
3.666551E+01  1.9754E+02
3.919543E+01  1.6559E+02
4.189992E+01  1.3896E+02
4.479101E+01  1.1677E+02
4.788159E+01  9.8248E+01
5.118542E+01  8.2776E+01
5.471721E+01  6.9836E+01
5.849270E+01  5.8933E+01
6.252870E+01  4.9765E+01
6.684318E+01  4.2080E+01
7.145536E+01  3.5540E+01
7.638578E+01  3.0037E+01
8.165640E+01  2.5376E+01
8.624441E+01  2.2049E+01
8.729069E+01  2.1382E+01
8.756448E+01  2.1211E+01
8.791650E+01  2.0997E+01
8.844452E+01  8.4618E+01
8.976459E+01  8.1544E+01
9.331374E+01  7.4000E+01
9.975239E+01  6.2584E+01
1.066353E+02  5.2873E+01
1.139931E+02  4.4672E+01
1.218587E+02  3.7762E+01
1.302669E+02  3.1906E+01
1.392553E+02  2.6969E+01
1.488640E+02  2.2819E+01
1.591356E+02  1.9332E+01
1.701159E+02  1.6404E+01
1.818539E+02  1.3944E+01
1.944018E+02  1.1869E+01
2.078156E+02  1.0125E+01
2.221548E+02  8.6579E+00
2.374835E+02  7.4233E+00
2.538699E+02  6.3832E+00
2.713869E+02  5.5064E+00
2.901126E+02  4.7663E+00
3.101304E+02  4.1409E+00
3.315294E+02  3.6117E+00
3.544049E+02  3.1633E+00
3.788588E+02  2.7826E+00
4.050001E+02  2.4588E+00
4.329451E+02  2.1827E+00
